,Distric,Barris,RDLpc,Index,neighborhood,district_id,neighborhood_id
0,Ciutat Vella,el Raval,11.178,0.54,el Raval,Q941385,Q1758503
1,Ciutat Vella,el Barri Gòtic,15.99,0.77,el Barri Gòtic,Q941385,Q17154
2,Ciutat Vella,la Barceloneta,13.246,0.64,la Barceloneta,Q941385,Q377070
3,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",16.77,0.81,"Sant Pere, Santa Caterina i la Ribera",Q941385,Q2442135
4,l'Eixample,el Fort Pienc,21.045,1.02,el Fort Pienc,Q64124,Q2107762
5,l'Eixample,la Sagrada Família,17.116,0.83,la Sagrada Família,Q64124,Q2470217
6,l'Eixample,la Dreta de l'Eixample,27.942,1.35,la Dreta de l'Eixample,Q64124,Q1904302
7,l'Eixample,l'Antiga Esquerra de l'Eixample,24.766,1.2,l'Antiga Esquerra de l'Eixample,Q64124,Q3291762
8,l'Eixample,la Nova Esquerra de l'Eixample,23.394,1.13,la Nova Esquerra de l'Eixample,Q64124,Q1026658
9,l'Eixample,Sant Antoni,22.927,1.11,Sant Antoni,Q64124,Q720994
10,Sants-Monjuic,el Poble Sec,16.392,0.79,el Poble Sec,Q753075,Q980253
11,Sants-Monjuic,la Marina del Prat Vermell,13.232,0.64,la Marina del Prat Vermell,Q753075,Q3596095
12,Sants-Monjuic,la Marina de Port,15.374,0.74,la Marina de Port,Q753075,Q3751076
13,Sants-Monjuic,la Font de la Guatlla,19.137,0.93,la Font de la Guatlla,Q753075,Q3750859
14,Sants-Monjuic,Hostafrancs,18.307,0.88,Hostafrancs,Q753075,Q3750929
15,Sants-Monjuic,la Bordeta,18.693,0.9,la Bordeta,Q753075,Q3753110
16,Sants-Monjuic,Sants - Badal,18.063,0.87,Sants - Badal,Q753075,Q3596096
17,Sants-Monjuic,Sants,20.348,0.99,Sants,Q753075,Q2476184
18,Les Corts,les Corts,27.702,1.34,les Corts,Q959944,Q3296693
19,Les Corts,la Maternitat i Sant Ramon,21.313,1.03,la Maternitat i Sant Ramon,Q959944,Q3297056
20,Les Corts,Pedralbes,43.27,2.09,Pedralbes,Q959944,Q2562684
21,Les Corts,"Vallvidrera, el Tibidabo i les Planes",30.875,1.49,"Vallvidrera, el Tibidabo i les Planes",Q1765582,Q3310216
22,Sarria - Sant Gervasi,Sarrià,33.948,1.64,Sarrià,Q1765582,Q3043699
23,Sarria - Sant Gervasi,les Tres Torres,49.436,2.39,les Tres Torres,Q1765582,Q3297896
24,Sarria - Sant Gervasi,Sant Gervasi - la Bonanova,47.527,2.3,Sant Gervasi - la Bonanova,Q1765582,Q3321657
25,Sarria - Sant Gervasi,Sant Gervasi - Galvany,36.755,1.78,Sant Gervasi - Galvany,Q1765582,Q3389521
26,Sarria - Sant Gervasi,el Putxet i el Farró,27.647,1.34,el Putxet i el Farró,Q1765582,Q3321805
27,Gracia,Vallcarca i els Penitents,23.656,1.14,Vallcarca i els Penitents,Q852697,Q2057331
28,Gracia,el Coll,19.309,0.93,el Coll,Q852697,Q1932090
29,Gracia,la Salut,27.55,1.33,la Salut,Q852697,Q3320699
30,Gracia,la Vila de Gràcia,25.217,1.22,la Vila de Gràcia,Q852697,Q2741611
31,Gracia,el Camp d'en Grassot i Gràcia Nova,23.132,1.12,el Camp d'en Grassot i Gràcia Nova,Q852697,Q2994821
32,Horta Guinardo,el Baix Guinardó,22.135,1.07,el Baix Guinardó,Q1771488,Q3297875
