,Distric,Barris,RDLpc (€),Index (RDLpc),neighborhood,district_id,neighborhood_id
0,Ciutat Vella,el Raval,11.178,0.54,el Raval,Q941385,Q1758503
1,Ciutat Vella,el Barri G??tic,15.99,0.77,el Barri G??tic,Q941385,Q17154
2,Ciutat Vella,la Barceloneta,14.943,0.72,la Barceloneta,Q941385,Q377070
3,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",16.77,0.81,"Sant Pere, Santa Caterina i la Ribera",Q941385,Q2442135
4,l'Eixample,el Fort Pienc,21.445,1.04,el Fort Pienc,Q64124,Q2107762
5,l'Eixample,la Sagrada Fam??lia,20.986,1.02,la Sagrada Fam??lia,Q64124,Q2470217
6,l'Eixample,la Dreta de l'Eixample,27.492,1.33,la Dreta de l'Eixample,Q64124,Q1904302
7,l'Eixample,l'Antiga Esquerra de l'Eixample,25.946,1.26,l'Antiga Esquerra de l'Eixample,Q64124,Q3291762
8,l'Eixample,la Nova Esquerra de l'Eixample,23.732,1.15,la Nova Esquerra de l'Eixample,Q64124,Q1026658
9,l'Eixample,Sant Antoni,20.961,1.01,Sant Antoni,Q64124,Q720994
10,Sants-Monjuic,el Poble Sec,15.253,0.74,el Poble Sec,Q753075,Q980253
11,Sants-Monjuic,la Marina del Prat Vermell,13.323,0.64,la Marina del Prat Vermell,Q753075,Q3596095
12,Sants-Monjuic,la Marina de Port,15.665,0.76,la Marina de Port,Q753075,Q3751076
13,Sants-Monjuic,la Font de la Guatlla,19.347,0.94,la Font de la Guatlla,Q753075,Q3750859
14,Sants-Monjuic,Hostafrancs,18.237,0.88,Hostafrancs,Q753075,Q3750929
15,Sants-Monjuic,la Bordeta,18.723,0.91,la Bordeta,Q753075,Q3753110
16,Sants-Monjuic,Sants - Badal,18.046,0.87,Sants - Badal,Q753075,Q3596096
17,Sants-Monjuic,Sants,20.368,0.99,Sants,Q753075,Q2476184
18,Les Corts,les Corts,27.113,1.31,les Corts,Q959944,Q3296693
19,Les Corts,la Maternitat i Sant Ramon,24.289,1.18,la Maternitat i Sant Ramon,Q959944,Q3297056
20,Les Corts,Pedralbes,37.592,1.82,Pedralbes,Q959944,Q2562684
21,Les Corts,"Vallvidrera, el Tibidabo i les Planes",25.355,1.23,"Vallvidrera, el Tibidabo i les Planes",Q1765582,Q3310216
22,Sarria - Sant Gervasi,Sarri??,33.481,1.62,Sarri??,Q1765582,Q3043699
23,Sarria - Sant Gervasi,les Tres Torres,39.655,1.92,les Tres Torres,Q1765582,Q3297896
24,Sarria - Sant Gervasi,Sant Gervasi - la Bonanova,34.469,1.67,Sant Gervasi - la Bonanova,Q1765582,Q3321657
25,Sarria - Sant Gervasi,Sant Gervasi - Galvany,34.586,1.67,Sant Gervasi - Galvany,Q1765582,Q3389521
26,Sarria - Sant Gervasi,el Putxet i el Farr??,27.674,1.34,el Putxet i el Farr??,Q1765582,Q3321805
27,Gracia,Vallcarca i els Penitents,24.034,1.16,Vallcarca i els Penitents,Q852697,Q2057331
28,Gracia,el Coll,19.096,0.92,el Coll,Q852697,Q1932090
29,Gracia,la Salut,23.613,1.14,la Salut,Q852697,Q3320699
30,Gracia,la Vila de Gr??cia,22.547,1.09,la Vila de Gr??cia,Q852697,Q2741611
31,Gracia,el Camp d'en Grassot i Gr??cia Nova,23.318,1.13,el Camp d'en Grassot i Gr??cia Nova,Q852697,Q2994821
32,Horta Guinardo,el Baix Guinard??,20.157,0.98,el Baix Guinard??,Q1771488,Q3297875
33,Horta Guinardo,Can Bar??,18.918,0.92,Can Bar??,Q1771488,Q3321797
34,Horta Guinardo,el Guinard??,19.578,0.95,el Guinard??,Q1771488,Q3045547
35,Horta Guinardo,la Font d'en Fargues,23.416,1.13,la Font d'en Fargues,Q1771488,Q3297889
36,Horta Guinardo,el Carmel,14.199,0.69,el Carmel,Q1771488,Q3319498
37,Horta Guinardo,la Teixonera,15.769,0.76,la Teixonera,Q1771488,Q3320705
38,Horta Guinardo,Sant Gen??s dels Agudells,16.599,0.80,Sant Gen??s dels Agudells,Q1771488,Q3298510
39,Horta Guinardo,Montbau,18.359,0.89,Montbau,Q1771488,Q3298502
40,Horta Guinardo,la Vall d'Hebron,22.077,1.07,la Vall d'Hebron,Q1771488,Q3298492
41,Horta Guinardo,la Clota,18.351,0.89,la Clota,Q1771488,Q3320857
42,Horta Guinardo,Horta,19.359,0.94,Horta,Q1771488,Q15225338
43,Nou Barris,Vilapicina i la Torre Llobeta,18.006,0.87,Vilapicina i la Torre Llobeta,Q1641049,Q3320806
44,Nou Barris,Porta,16.059,0.78,Porta,Q1641049,Q3750558
45,Nou Barris,el Tur?? de la Peira,13.183,0.64,el Tur?? de la Peira,Q1641049,Q524311
46,Nou Barris,Can Peguera,12.205,0.59,Can Peguera,Q1641049,Q3320716
47,Nou Barris,la Guineueta,18.19,0.88,la Guineueta,Q1641049,Q2736697
48,Nou Barris,Canyelles,16.789,0.81,Canyelles,Q1641049,Q3751386
49,Nou Barris,les Roquetes,12.111,0.59,les Roquetes,Q1641049,Q1627690
50,Nou Barris,Verdun,13.132,0.64,Verdun,Q1641049,Q3750551
51,Nou Barris,la Prosperitat,14.729,0.71,la Prosperitat,Q1641049,Q3750926
52,Nou Barris,la Trinitat Nova,11.507,0.56,la Trinitat Nova,Q1641049,Q3750932
53,Nou Barris,Torre Bar??,10.822,0.52,Torre Bar??,Q1641049,Q3750940
54,Nou Barris,Ciutat Meridiana,9.827,0.48,Ciutat Meridiana,Q1641049,Q3320722
55,Nou Barris,Vallbona,11.325,0.55,Vallbona,Q1641049,Q3751072
